date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,-9.1,-13.3,-6.2,,,109,2.2,,1030.7,
2023-01-02,-10.4,-13.2,-6.5,,,181,2.5,,1031.6,
2023-01-03,-9.5,-12.9,-7.1,,,127,3.5,,1021.5,
2023-01-04,-6.8,-9.8,-3.8,,,109,4.8,,1008.2,
2023-01-05,-6.1,-7.1,-5.2,,,176,2.6,,1006.8,
2023-01-06,-12.2,-16.5,-7.5,,,235,2.4,,1010.6,
2023-01-07,-15.8,-20.3,-6.7,,,168,2.4,,1019.1,
2023-01-08,-2.6,-6.3,1.9,,,163,5.7,,1006.8,
2023-01-09,-10.7,-24.8,1.4,,,207,11.1,,1006.9,
2023-01-10,-29.1,-30.8,-25.1,,,209,5.8,,1024.2,
2023-01-11,-33.6,-36,-30.7,,,205,2.1,,1033.6,
2023-01-12,-30.6,-35.7,-21.3,,,165,3.1,,1041.7,
2023-01-13,-17.2,-21,-14.9,,,187,5.7,,1032.3,
2023-01-14,-13.7,-16.4,-11.6,,,194,5.7,,1029.5,
2023-01-15,-11.6,-12.4,-11,,,219,5.4,,1023.3,
2023-01-16,-10.7,-12.2,-9.5,,,198,5.1,,1024.9,
2023-01-17,-8.4,-10.6,-5.6,,,232,6.1,,1024.7,
2023-01-18,-10.8,-12.8,-7.4,,,51,2.1,,1034.3,
2023-01-19,-14,-15.9,-11,,,221,3,,1028.4,
2023-01-20,-17.5,-26.3,-13.6,,,305,4.7,,1032.5,
2023-01-21,-29.9,-33.7,-27,,,24,3.4,,1050.1,
2023-01-22,-29.2,-34.8,-19.1,,,113,3.7,,1050.9,
2023-01-23,-15.3,-18.5,-12.9,,,182,3.3,,1027.1,
2023-01-24,-11.9,-15.2,-8.2,,,224,3.8,,1020.4,
2023-01-25,-22.6,-28.4,-15.8,,,41,2.2,,1026.3,
2023-01-26,-9.9,-16.3,-6.7,,,196,5.8,,1022.8,
2023-01-27,-9.5,-10.4,-8.6,,,204,8.5,,1017.8,
2023-01-28,-8.5,-10.3,-6.9,,,197,4.9,,1018,
2023-01-29,-9.4,-11.5,-8,,,207,5.3,,1013.3,
2023-01-30,-9.5,-11.7,-7.2,,,210,4.7,,1021.6,
2023-01-31,-10.6,-12.4,-7.7,,,175,1.8,,1029.1,
2023-02-01,-15.9,-19,-11.9,,,124,0.2,,1031.3,
2023-02-02,-18.8,-22.4,-13,,,63,0.1,,1032.5,
2023-02-03,-17.6,-21.4,-13.3,,,24,1.4,,1028.2,
2023-02-04,-13.8,-17,-8.8,,,20,1.6,,1027.7,
2023-02-05,-14.3,-17.8,-9.5,,,39,1.3,,1030.7,
2023-02-06,-15.2,-18.7,-9.9,,,55,2.8,,1028.7,
2023-02-07,-13.2,-17.3,-9,,,137,1.8,,1024,
2023-02-08,-16,-20.2,-12.5,,,215,1.4,,1024.5,
2023-02-09,-21.6,-24.3,-17.3,,,250,0,,1021.6,
2023-02-10,-23.3,-27.5,-16.8,,,51,0.9,,1024.3,
2023-02-11,-23.2,-27.8,-16.5,,,114,1,,1037.6,
2023-02-12,-17.7,-23.5,-8,,,76,2.3,,1039.9,
2023-02-13,-14.7,-17.9,-10.7,,,114,1,,1035.9,
2023-02-14,-15.8,-19.9,-12.1,,,193,1.7,,1037,
2023-02-15,-19.8,-24.1,-12.9,,,67,0.2,,1036.4,
2023-02-16,-18.4,-23.2,-12.1,,,360,1.7,,1035.5,
2023-02-17,-14,-17.8,-8.3,,,212,4.9,,1037.1,
2023-02-18,-13.7,-18.4,-7.8,,,180,2.1,,1033.4,
2023-02-19,-9,-11.5,-5.9,,,176,3.9,,1026.7,
2023-02-20,-11.4,-14.4,-6.9,,,174,2,,1029.1,
2023-02-21,-8.4,-14.5,-1.9,,,76,3.1,,1023.4,
2023-02-22,-3.7,-6.9,0.9,,,89,2.6,,1024.8,
2023-02-23,-2.3,-6.3,2.9,,,102,5,,1016.6,
2023-02-24,2,-1,4.7,,,170,6.6,,1011.5,
2023-02-25,-6.9,-11.9,-2.1,,,218,6.3,,1018.5,
2023-02-26,-12.6,-16,-8.9,,,200,4,,1032.7,
2023-02-27,-9.3,-11.3,-6.2,,,198,3.5,,1033.2,
2023-02-28,-4.7,-7.7,-2.1,,,177,6,,1019.9,
2023-03-01,-1.2,-3.1,0.5,,,185,5.4,,1009.7,
2023-03-02,1.4,-0.1,3.6,,,187,7.3,,1002.9,
2023-03-03,-1.6,-5.2,0.4,,,215,5.7,,1004.3,
2023-03-04,-7.4,-10.1,-5.6,,,218,7.7,,1015.1,
2023-03-05,-7.1,-10.8,-2.6,,,166,3.3,,1020,
2023-03-06,-4.8,-8.3,-1.1,,,159,3.4,,1011.5,
2023-03-07,-2.1,-4.7,-0.2,,,209,7.7,,1008.9,
2023-03-08,-3.6,-5.5,-1.5,,,21,5.6,,999.1,
2023-03-09,-11.8,-16.2,-6.1,,,285,5.4,,1028.5,
